generation,rateshifts,jumps,rootstate,jumpvariance
651000,0,1,-0.379875,5
652000,0,1,0.249267,5
653000,0,1,3.15304,5
654000,0,2,-0.771913,5
655000,0,1,-0.59185,5
656000,0,1,-0.59185,5
657000,1,1,-1.3274,5
658000,0,2,-0.00773403,5
659000,0,1,-0.00773403,5
660000,0,2,0.592951,5
661000,0,2,-0.224304,5
662000,1,1,-0.958365,5
663000,0,1,-1.40477,5
664000,1,1,-0.0329693,5
665000,0,1,-1.09508,5
666000,0,2,-0.853341,5
667000,0,2,-0.0994181,5
668000,0,1,-0.842998,5
669000,0,1,0.77374,5
670000,0,2,1.42309,5
671000,1,1,-1.4118,5
672000,1,2,-0.293461,5
673000,0,1,0.869128,5
674000,0,1,0.0916129,5
675000,0,1,-1.32359,5
676000,0,1,-0.75423,5
677000,0,1,-0.0654813,5
678000,0,1,1.62328,5
679000,0,1,1.3259,5
680000,2,1,1.01912,5
681000,1,2,-0.65132,5
682000,1,1,-0.0365708,5
683000,1,1,2.01948,5
684000,0,3,1.08731,5
685000,0,1,3.20825,5
686000,0,1,3.20825,5
687000,0,1,2.17996,5
688000,0,1,1.38745,5
689000,0,2,1.2589,5
690000,0,2,2.48917,5
691000,0,1,1.63332,5
692000,0,1,1.22776,5
693000,0,1,1.22776,5
694000,0,1,-0.25456,5
695000,0,2,1.09411,5
696000,0,1,-0.107104,5
697000,0,1,-1.83427,5
698000,0,1,-1.5388,5
699000,0,3,0.822926,5
700000,0,1,0.226504,5
701000,0,2,-0.786206,5
702000,0,2,-1.01688,5
703000,1,1,-0.0210504,5
704000,1,1,0.361841,5
705000,0,2,0.48536,5
706000,0,1,1.29429,5
707000,1,2,1.2045,5
708000,0,1,2.08205,5
709000,0,1,1.44431,5
710000,0,1,1.8152,5
711000,0,1,0.872604,5
712000,0,1,-0.868004,5
713000,0,1,0.892321,5
714000,0,1,-1.73941,5
715000,0,1,-1.13389,5
716000,0,1,0.21501,5
717000,0,1,1.29276,5
718000,0,1,0.140306,5
719000,1,1,0.140306,5
720000,0,1,1.45273,5
721000,1,1,2.68735,5
722000,0,1,1.00549,5
723000,0,1,2.24576,5
724000,0,1,1.89128,5
725000,1,1,1.27651,5
726000,0,2,0.236293,5
727000,0,1,-1.55217,5
728000,0,1,-0.202936,5
729000,1,1,0.522944,5
730000,0,1,1.11748,5
731000,1,1,-0.0175524,5
732000,0,2,0.384013,5
733000,0,1,2.13965,5
734000,0,1,2.96339,5
735000,0,1,1.25496,5
736000,1,1,0.873653,5
737000,2,1,1.36349,5
738000,0,1,1.29839,5
739000,0,1,0.847639,5
740000,0,1,0.384441,5
741000,0,1,1.11839,5
742000,0,1,2.37551,5
743000,0,1,0.714455,5
744000,0,1,-0.274563,5
745000,0,1,-0.274563,5
746000,0,1,0.12381,5
747000,0,1,-3.21411,5
748000,0,2,-0.646478,5
749000,0,1,-1.45068,5
750000,0,1,-1.45068,5
751000,0,1,1.1731,5
752000,0,1,0.298921,5
753000,0,1,-1.40611,5
754000,0,1,-1.59626,5
755000,0,1,-2.53826,5
756000,0,1,0.260803,5
757000,1,1,0.217574,5
758000,0,1,1.17649,5
759000,1,1,1.17649,5
760000,1,1,1.52973,5
761000,0,1,-2.7846,5
762000,0,1,-1.57621,5
763000,0,1,-0.149102,5
764000,0,1,0.129234,5
765000,0,2,-2.33805,5
766000,2,1,-2.34381,5
767000,2,1,1.31283,5
768000,1,1,-0.521976,5
769000,1,1,-0.422492,5
770000,2,1,-0.438474,5
771000,0,1,-0.495726,5
772000,0,1,-0.0485309,5
773000,1,1,1.76346,5
774000,0,1,-0.157766,5
775000,0,1,-0.129081,5
776000,0,1,0.452424,5
777000,0,1,0.0489437,5
778000,1,1,-0.283226,5
779000,0,1,-0.991394,5
780000,1,1,-0.497962,5
781000,0,1,-0.00944334,5
782000,0,2,-0.00944334,5
783000,0,1,-0.605917,5
784000,0,1,-0.940169,5
785000,1,1,0.279653,5
786000,0,2,0.999772,5
787000,0,1,1.29266,5
788000,1,1,0.0068065,5
789000,0,1,-0.972937,5
790000,0,1,-0.819793,5
791000,0,1,0.67391,5
792000,0,1,-1.95665,5
793000,0,2,-4.02089,5
794000,0,2,-1.51539,5
795000,3,2,-4.02057,5
796000,0,2,-2.7097,5
797000,0,1,0.354593,5
798000,0,2,1.97098,5
799000,0,1,1.66536,5
800000,0,2,1.66536,5
801000,0,1,1.24048,5
802000,1,1,2.47811,5
803000,0,1,1.8922,5
804000,0,2,1.04647,5
805000,1,1,0.074479,5
806000,1,1,4.49087,5
807000,0,1,-0.0426339,5
808000,1,2,0.683978,5
809000,1,2,-0.940877,5
810000,0,1,-1.75053,5
811000,0,2,-2.62079,5
812000,0,1,2.86166,5
813000,0,1,-2.01209,5
814000,0,1,1.30254,5
815000,0,1,1.53538,5
816000,0,1,1.45747,5
817000,0,2,1.29174,5
818000,0,1,1.29174,5
819000,0,1,2.31107,5
820000,0,2,1.99657,5
821000,0,1,3.37127,5
822000,0,1,0.665465,5
823000,0,1,1.61253,5
824000,0,2,2.54119,5
825000,0,1,0.70852,5
826000,0,1,-1.1164,5
827000,0,2,-0.754102,5
828000,0,1,-0.991855,5
829000,0,2,0.546504,5
830000,0,1,-2.61521,5
831000,0,2,-3.66393,5
832000,0,1,1.78426,5
833000,0,2,-0.0423478,5
834000,0,1,2.24563,5
835000,1,3,3.14604,5
836000,1,3,-3.26074,5
837000,1,2,-3.28948,5
838000,0,1,2.8437,5
839000,0,1,5.13931,5
840000,0,1,2.00679,5
841000,1,1,1.18413,5
842000,0,2,2.21053,5
843000,1,2,-0.0467886,5
844000,0,1,-1.64397,5
845000,0,1,-0.159656,5
846000,0,2,0.191518,5
847000,0,3,0.351107,5
848000,0,1,-0.485435,5
849000,0,1,-3.47798,5
850000,1,1,-4.07461,5
851000,0,1,0.47971,5
852000,0,1,3.67109,5
853000,1,1,2.35415,5
854000,0,1,2.55452,5
855000,0,1,1.5134,5
856000,0,1,-2.16632,5
857000,0,1,-2.74041,5
858000,0,1,2.49436,5
859000,0,1,-0.322067,5
860000,0,1,-0.227652,5
861000,0,1,3.46108,5
862000,0,2,0.197598,5
863000,0,1,0.108453,5
864000,0,2,-0.910103,5
865000,0,2,-2.81934,5
866000,0,1,1.12261,5
867000,0,2,1.81056,5
868000,0,1,-0.67251,5
869000,0,1,-0.67251,5
870000,0,1,-2.53062,5
871000,0,1,-0.664366,5
872000,0,1,-0.145537,5
873000,1,1,1.01373,5
874000,0,1,1.67787,5
875000,0,1,-0.331221,5
876000,2,1,-0.663422,5
877000,1,1,2.14233,5
878000,0,1,-0.378671,5
879000,0,1,-0.89921,5
880000,1,1,-2.85556,5
881000,2,2,-2.67082,5
882000,1,1,1.65143,5
883000,1,1,0.361526,5
884000,0,1,2.11099,5
885000,0,1,-1.48882,5
886000,0,1,-0.964834,5
887000,0,1,0.134473,5
888000,0,1,2.80081,5
889000,0,1,5.66495,5
890000,0,1,2.90821,5
891000,0,1,3.14552,5
892000,0,2,2.09998,5
893000,0,3,4.08894,5
894000,0,1,-0.190759,5
895000,0,2,-2.93066,5
896000,0,1,-2.94742,5
897000,1,1,-0.00746899,5
898000,0,1,4.00348,5
899000,0,1,0.0747412,5
900000,0,1,0.867504,5
901000,0,1,1.79638,5
902000,0,1,2.63615,5
903000,1,2,1.0944,5
904000,1,1,1.1492,5
905000,1,1,2.60269,5
906000,2,1,-1.14158,5
907000,0,1,2.80206,5
908000,0,1,3.72155,5
909000,0,1,-2.39608,5
910000,0,1,-2.46412,5
911000,0,1,0.378454,5
912000,0,1,0.558751,5
913000,0,1,3.41139,5
914000,0,1,3.78606,5
915000,1,3,1.09117,5
916000,0,1,-0.182507,5
917000,1,1,-0.671911,5
918000,2,1,-0.614545,5
919000,0,2,-0.16778,5
920000,0,1,0.29015,5
921000,1,1,1.93007,5
922000,0,1,-0.13828,5
923000,0,2,-0.499848,5
