generation,rateshifts,jumps,rootstate,jumpvariance
314000,1,1,1.859,0
315000,0,2,2.62,0
316000,1,1,4.83173,0
317000,0,1,2.64091,0
318000,1,2,-0.204935,0
319000,0,1,1.91976,0
320000,1,1,-1.09926,0
321000,0,1,0.717321,0
322000,0,1,-0.794688,0
323000,0,1,-0.172835,0
324000,0,1,1.34835,0
325000,1,1,-1.93137,0
326000,0,1,-0.190936,0
327000,1,1,2.27678,0
328000,1,1,0.0695677,0
329000,0,2,-0.102021,0
330000,1,1,-0.970196,0
331000,0,1,0.646385,0
332000,0,1,0.477238,0
333000,1,1,0.0671728,0
334000,1,1,-1.30942,0
335000,0,2,-0.224362,0
336000,1,1,-0.0522867,0
337000,0,1,-0.0522867,0
338000,0,1,-0.608229,0
339000,1,1,-0.608229,0
340000,0,2,-0.559552,0
341000,0,1,-0.788515,0
342000,0,1,-0.287662,0
343000,0,2,-0.795882,0
344000,0,1,-2.34502,0
345000,0,1,-2.37995,0
346000,0,1,-1.71271,0
347000,2,1,-0.144919,0
348000,0,1,-2.75273,0
349000,1,1,1.72385,0
350000,1,1,1.20568,0
351000,0,1,-2.11641,0
352000,0,1,-1.02312,0
353000,3,1,1.65339,0
354000,0,1,-0.340009,0
355000,1,2,-2.8618,0
356000,0,1,-0.127448,0
357000,0,1,0.29511,0
358000,0,1,3.22899,0
359000,0,1,3.63936,0
360000,0,1,1.57168,0
361000,0,1,4.39919,0
362000,0,1,2.696,0
363000,0,1,2.62614,0
364000,0,1,3.52748,0
365000,0,1,-1.41523,0
366000,0,2,-1.92641,0
367000,0,2,1.45001,0
368000,1,2,-1.26826,0
369000,1,1,1.2173,0
370000,1,1,1.98828,0
371000,1,1,-1.11818,0
372000,1,1,-0.3458,0
373000,0,1,-1.63857,0
374000,0,1,-1.16374,0
375000,0,1,1.19281,0
376000,0,1,-0.652271,0
377000,0,1,0.929079,0
378000,0,1,2.47219,0
379000,0,1,0.569164,0
380000,0,1,-0.57788,0
381000,0,2,-0.521088,0
382000,0,1,1.87761,0
383000,2,1,0.39002,0
384000,0,1,-0.682812,0
385000,0,1,-2.85433,0
386000,0,1,-1.77757,0
387000,0,1,-0.206549,0
388000,0,1,-0.206549,0
